HstNummer;Name mit Ort;Name ohne Ort;Ort;GKZ;Globale ID;Tarifgebiete;MVTT X;MVTT Y;WGS84 X;WGS84 Y
9004;Vaterstetten, Dreitorspitzstr.;Dreitorspitzstraße;Vaterstetten;9175132;de:09175:9004;5;4482912;830454;48,10373767;11,76910883
9005;Baldham, Johann-Strauß-Straße;Johann-Strauß-Straße;Baldham;9175132;de:09175:9005;5,6;4484588;830326;48,1049317;11,79160801
9006;Egling a.d.Paar, Bahnhof;Bahnhof;Egling a.d.Paar;9181116;de:09181:9006;14,15;4424034;820280;48,19091857;10,97680628
9007;Egling a.d.Paar, Pfarrkirche;Pfarrkirche;Egling a.d.Paar;9181116;de:09181:1603;14,15;4424538;820582;48,18826312;10,98363765
9008;Bernried (a Starnberger See);Bernried (a Starnberger See);Bernried(Starnb.See);9190115;de:09190:90040;;4446481;857163;47,86152526;11,28329866
9009;Seeshaupt (DB);Seeshaupt (DB);Seeshaupt;9190152;de:09190:41534;;4446728;861486;47,82266851;11,28713183
9010;Dießen;Dießen;Dießen a.Ammersee;9181114;;;4433472;847158;47,9502807;11,107915
9011;Riederau;Riederau;Riederau (Ammersee);9181114;de:09181:505;;4432703;843480;47,9832748;11,09704542
9012;Utting Bahnhof;Bahnhof;Utting a.Ammersee;9181144;de:09181:507;;4432509;839147;48,02221863;11,09376513
9013;Schondorf Bahnhof;Bahnhof;Schondorf a Ammersee;9181139;de:09181:506;;4432227;835672;48,05343729;11,08943499
9014;St. Alban;St. Alban;Sankt Alban (Dießen);9181114;de:09181:1423;;;;;
9015;Spiridon-Louis-Ring;Spiridon-Louis-Ring;München;9162000;de:09162:9015;2;4466987;823254;48,16786057;11,55472704
9016;Gars, Innbrücke;Innbrücke;Gars am Inn;9183118;de:09183:5997;;4520807;825244;48,15048567;12,27818542
9017;Gars, Rathaus;Rathaus;Gars am Inn;9183118;;;;;;
9018;Straßwirt;Straßwirt;Gars am Inn;9183118;;;;;;
9019;Zulehen (b. Gars);Zulehen(b.Gars);Zulehen (b.Gars);9183140;;;;;;
